,b,m,w,x,exp_data,exp_error,chi_sq,normalized solutions
21,1,38593.15966546575,0.042093500000000006,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",43.534,"[2.9203034013628057e-05, 0.08836129406454282, 0.19718963718714488, 0.334669464886676, 0.5140748345605242, 0.7589941663045137, 0.9036110390156658, 1.0]"
22,1,4.61030960276096,0.042093500000000006,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",1790172.9777,"[0.19644337623524818, 0.26742529071490867, 0.35487757624723143, 0.46535363896806387, 0.6095202108102327, 0.8063325099184218, 0.9225437476503656, 1.0]"
23,1,363.36920920411376,0.042093500000000006,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",283.6161,"[0.003092131057572056, 0.09115365859423279, 0.19964865764632317, 0.33670738991002575, 0.5155632222306294, 0.7597323612785861, 0.9039062798109054, 1.0]"
24,1,197128.766927675,0.042093500000000006,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",45.0806,"[5.717399132566205e-06, 0.0883398834343735, 0.19717078384242054, 0.33465384848494223, 0.5140634295219536, 0.7589884993989523, 0.9036087726506261, 1.0]"
25,1,73.06763857021541,0.042093500000000006,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",9804.0988,"[0.015190709528556055, 0.10218351351996184, 0.2093618072558071, 0.3447571761994098, 0.5214424039149735, 0.7626482776012877, 0.9050724841372212, 1.0]"
26,1,9436.825388675514,0.042093500000000006,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",38.0726,"[0.00011941893868314277, 0.08844353977881043, 0.19726206402233495, 0.33472949702247573, 0.5141186729708134, 0.7590159060218225, 0.9036197420462874, 1.0]"
27,1,30417.145194649187,0.042093500000000006,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",43.0286,"[3.705240901059641e-05, 0.08836844895598943, 0.1971959402161576, 0.3346746853331236, 0.5140786426691614, 0.7589960549553685, 0.9036117774258207, 1.0]"
28,1,121943.8488280906,0.042093500000000006,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",44.8451,"[9.242449387582397e-06, 0.08834309577601264, 0.1971736109009393, 0.3346561919932785, 0.514065126172288, 0.7589893461657504, 0.9036091113504164, 1.0]"
29,1,372902.24314555386,0.042093500000000006,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",45.2613,"[3.0224190671207944e-06, 0.08833742427153167, 0.19716861523841772, 0.3346520500474219, 0.5140621008920138, 0.7589878415003607, 0.9036085024675805, 1.0]"
30,1,2383.745140353434,0.042093500000000006,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",24.0103,"[0.00047259147105064333, 0.08876551487533162, 0.19754560624722697, 0.33496447550942987, 0.5142902908268163, 0.7591010261000953, 0.9036537787611664, 1.0]"
