,b,m,w,x,exp_data,exp_error,chi_sq,normalized solutions
13,1,26.349518924946956,0.0391905,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]",77080.9115,"[0.04133245121911731, 0.12124509084595177, 0.2209263449211709, 0.3488177940751747, 0.5190796962250984, 0.7578241165031403, 0.9022780655838909, 1.0]"
14,1,17800.60915305509,0.0391905,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]",35.8002,"[6.38165400860922e-05, 0.08341652987137477, 0.18738885585063114, 0.32078576908225814, 0.49837709246408346, 0.7473989666239779, 0.8980713599702886, 1.0]"
15,1,1025.932898698875,0.0391905,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]",22.3106,"[0.0011061046769604399, 0.08437193481542365, 0.1882358811338372, 0.3214937428765576, 0.4988999492175462, 0.7476622443640885, 0.8981775926544572, 1.0]"
16,1,478716.3594315555,0.0391905,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]",39.7646,"[2.373102710079936e-06, 0.08336020844534024, 0.18733892344527706, 0.3207440359774863, 0.4983462644031678, 0.7473834361965548, 0.898065100919039, 1.0]"
17,1,34.780171398516934,0.0391905,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]",44655.9229,"[0.03163044061537986, 0.11235182204298681, 0.21304188069120586, 0.34222763554009206, 0.5142126393008817, 0.7553732172587045, 0.9012891000626082, 1.0]"
18,1,996702.8267523068,0.0391905,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]",39.8478,"[1.1398025928166022e-06, 0.08335907610950151, 0.18733791665491545, 0.3207431865588621, 0.49834563488889233, 0.7473831169597249, 0.8980649385833426, 1.0]"
19,1,80.94916355754997,0.0391905,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]",8055.2464,"[0.01383983517683695, 0.09604420559003303, 0.1985841135767549, 0.3301432299237654, 0.5052878950930585, 0.7508790034494291, 0.8994756117022732, 1.0]"
20,1,242890.54588250612,0.0391905,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]",39.6096,"[4.677170287766132e-06, 0.08336231830307207, 0.18734079082391977, 0.3207455887543065, 0.49834741040959, 0.7473839998476468, 0.8980653088355435, 1.0]"
21,1,38593.15966546575,0.0391905,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]",37.975,"[2.943558703512544e-05, 0.08338501244745575, 0.1873609125553142, 0.32076240821633095, 0.4983598195706476, 0.7473902569260471, 0.8980678373664769, 1.0]"
22,1,4.61030960276096,0.0391905,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]",1813179.8443,"[0.1976984872708186, 0.26457676675278063, 0.34799924752793815, 0.45503061097887487, 0.5975214840200468, 0.7973248426241799, 0.9182172613720748, 1.0]"
