,b,m,w,x,exp_data,exp_error,chi_sq,normalized solutions
10,1,231.4851848012832,0.0012100589279899537,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]",20428.2294,"[0.021574322398352136, 0.03377607264082495, 0.05196476096097641, 0.08197919679981246, 0.1409078080761154, 0.3093613696404765, 0.5651410166360346, 1.0]"
11,1,263.74571859471035,4.457787976447049e-05,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]",4123655.3051,"[0.2977901921158457, 0.30487645581532724, 0.3155033970941454, 0.33320843048320514, 0.36859399114905694, 0.47455518304736033, 0.6505080744425584, 1.0]"
12,1,2.3106283159730143,0.00022797949168560597,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]",38432397.8103,"[0.9075878804854707, 0.9085551624125066, 0.9100043731740466, 0.9124151669780152, 0.9172197802695901, 0.9314990849563326, 0.9548589944010427, 1.0]"
13,1,14.903393185746179,0.011124949465468516,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]",365639.8924,"[0.08918746655690081, 0.118445092140362, 0.15994277484198394, 0.22339713865557334, 0.33252221128090087, 0.5645327716315122, 0.7865336079404327, 1.0]"
14,1,3415.873902443813,0.02418242912122693,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]",15.291,"[0.0003559376729237858, 0.05703248408012246, 0.13259783942095718, 0.23840908239398767, 0.39726868268772897, 0.6630064594763938, 0.8544643451514908, 1.0]"
15,1,316341.8549684434,0.012983889756251097,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]",67.1555,"[4.410168611444142e-06, 0.0357101538912663, 0.0858973857775828, 0.16162342382652095, 0.2890643328129659, 0.5489274651103253, 0.7844975650948116, 1.0]"
16,1,367163.10635571147,0.3536019089902083,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]",2043.3987,"[2.7714928594248883e-06, 0.4211064636805936, 0.6460655536213035, 0.7871577838295774, 0.8847765706348825, 0.9573366279087968, 0.98504654335292, 1.0]"
17,1,514845.7904313375,0.015202461663647878,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]",56.6707,"[2.6006362358503342e-06, 0.03994684032710037, 0.0954945697928669, 0.17801680527950084, 0.31350358797083944, 0.5773727312013933, 0.8033280558527214, 1.0]"
18,1,4743.214350176883,2.4798154298333466,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]",7659.7382,"[0.00021148387877672196, 0.8284832289382447, 0.9222383503192585, 0.9593203428620001, 0.9795818984113632, 0.9927113413645143, 0.9974482576830129, 1.0]"
19,1,921005.0948116777,3.871122881530944,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]",8639.1721,"[1.08830422468456e-06, 0.8810532542864514, 0.9475486097385546, 0.972760408603194, 0.9863343217195957, 0.9950971980330374, 0.9982735457893486, 1.0]"
20,1,820.642701993521,0.0005741203457580821,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]",5670.9313,"[0.01159545784149763, 0.022640593454082248, 0.03915920078082256, 0.06656007002689059, 0.12087896535327826, 0.2800738887621022, 0.5334965752390164, 1.0]"
21,1,96462.31833512837,0.0020491991566147115,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]",171.6818,"[3.557229323402254e-05, 0.014208411786386311, 0.035244526009763355, 0.06972210723537665, 0.136573021857682, 0.32175298596600127, 0.5872525277489743, 1.0]"
22,1,11.144725002710706,0.0028410621433829046,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]",1826331.0431,"[0.1984255335559714, 0.2110683051065768, 0.22975760694022387, 0.26019460401294103, 0.3185334328453187, 0.4756211903884246, 0.6899447964898452, 1.0]"
23,1,2.7421766690055573,5.849989674037734,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]",3336132.9394,"[0.2675567758765569, 0.9388705164806318, 0.9734582217201558, 0.9862446558078426, 0.993081259196257, 0.9974998038752205, 0.9991136728089978, 1.0]"
24,1,429260.7213973111,6.923695934665443,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]",9549.324,"[2.333068730740216e-06, 0.9279810742658012, 0.9688550603482766, 0.9838558117532746, 0.991865466339423, 0.9970499510902565, 0.9989509755523268, 1.0]"
25,1,2339.1138671730528,8.20028388167506e-05,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961474, 0.04749829318248318, 0.181459085145811, 0.3045937774309958, 0.45869501609285085, 0.7031600507168634, 0.8531161611235736, 1.0]","[0.0001462986442992295, 0.009753242953281966, 0.024383107383204917, 0.048766214766409834, 0.048766214766409834, 0.07314932214961474, 0.09753242953281967, 0.14629864429922948]",28866.2108,"[0.025524696610413837, 0.03543322644160356, 0.05028971514518212, 0.07503372328928236, 0.12445881951971634, 0.27223268308517834, 0.516863777183577, 1.0]"
