,fixed m,fixed m ppl,fixed m all parameters
95,30434.34315999995,7.56,"[15.104, 1, 1, 30434.34316, 103.75537, 1.77809]"
96,30785.508657999948,7.562,"[15.1027, 1, 1, 30785.50866, 103.77552, 1.778]"
97,31136.674155999946,7.564,"[15.10566, 1, 1, 31136.67416, 103.73304, 1.77777]"
98,31487.839653999945,7.566,"[15.10343, 1, 1, 31487.83965, 103.75147, 1.77781]"
99,31839.005151999943,7.568,"[15.10533, 1, 1, 31839.00515, 103.78745, 1.77799]"
100,32190.17064999994,7.569,"[15.10336, 1, 1, 32190.17065, 103.76003, 1.77757]"
101,32541.33614799994,7.571,"[15.10694, 1, 1, 32541.33615, 103.75948, 1.7779]"
102,32892.50164599994,7.573,"[15.10443, 1, 1, 32892.50165, 103.77179, 1.77776]"
103,33243.66714399994,7.575,"[15.1051, 1, 1, 33243.66714, 103.76259, 1.77772]"
104,33594.83264199994,7.577,"[15.10565, 1, 1, 33594.83264, 103.74359, 1.77768]"
105,33945.998139999945,7.578,"[15.10417, 1, 1, 33945.99814, 103.74807, 1.77744]"
106,34297.16363799995,7.58,"[15.10341, 1, 1, 34297.16364, 103.76927, 1.77713]"
107,34648.32913599995,7.582,"[15.10436, 1, 1, 34648.32914, 103.74854, 1.77758]"
108,34999.49463399995,7.583,"[15.10539, 1, 1, 34999.49463, 103.74753, 1.77733]"
109,35350.66013199995,7.585,"[15.10442, 1, 1, 35350.66013, 103.74044, 1.7775]"
