,b,m,w,x,exp_data,exp_error,chi_sq,normalized solutions
21,1,2105.576395,1.1095966840026112,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",5355.3244,"[0.00047777532831356703, 0.6892672158104519, 0.8462098231427059, 0.9169293173143307, 0.9577625858917037, 0.984913888330033, 0.9947494230907271, 1.0]"
22,1,2105.576395,0.00013255157887542756,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",13866.553,"[0.017862102398027227, 0.027950249986338372, 0.04307209445416358, 0.06824753229495512, 0.11849504094724231, 0.2684157303408348, 0.5155776634040079, 1.0]"
23,1,2105.576395,0.01044727286121442,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",57.2277,"[0.0007063929353414458, 0.03149345555943787, 0.07530562365845889, 0.14263000471913823, 0.25935356635610446, 0.5115388769786717, 0.7580579467874023, 1.0]"
24,1,2105.576395,5.667673442664509,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",9256.6148,"[0.00047552980678734844, 0.9142502224114646, 0.9627352028064222, 0.9806869288521267, 0.9902886021208951, 0.9964928416668328, 0.9987573859073153, 1.0]"
25,1,2105.576395,0.0021007766704823853,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",180.7338,"[0.001599027437207296, 0.015853913673913415, 0.03700621979396017, 0.0716598050385848, 0.1388010024260932, 0.3244349205166677, 0.5896931541925918, 1.0]"
26,1,2105.576395,0.27131932833568434,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",1465.371,"[0.00048530429809024833, 0.360178221616766, 0.5858821219166298, 0.7416963174514988, 0.8566055515088284, 0.945961663227491, 0.9809520307575093, 1.0]"
27,1,2105.576395,0.8745270855604437,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",4602.1951,"[0.0004784682084696013, 0.637637040619175, 0.8140075410727677, 0.897953938748928, 0.9477036397358286, 0.9812589359993992, 0.9934794731900137, 1.0]"
28,1,2105.576395,3.506022607815729,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",8424.3936,"[0.0004759012120970773, 0.8708042225098126, 0.9427385636581477, 0.9702290835850661, 0.9850676151962238, 0.9946501571190665, 0.998118811765595, 1.0]"
29,1,2105.576395,10.721358293493012,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",9993.1496,"[0.0004752191545098214, 0.9511388366227844, 0.9789813457546737, 0.9890736676897842, 0.9944605432518601, 0.9979694271103545, 0.9992716249760965, 1.0]"
30,1,2105.576395,0.0685353499472686,"[0, 2, 5, 10, 20, 50, 100, 200]","[0.0007314932214961, 0.0474982931824832, 0.181459085145811, 0.304593777430996, 0.458695016092851, 0.703160050716863, 0.853116161123574, 1.0]","[0.0001462986442992, 0.0097532429532819, 0.0243831073832049, 0.0487662147664098, 0.0487662147664098, 0.0731493221496147, 0.0975324295328197, 0.146298644299229]",114.5169,"[0.0005126547191464866, 0.13166127881997822, 0.2769810489572122, 0.439108280684946, 0.6215820844376829, 0.8297063023649001, 0.9353343515402297, 1.0]"
